,h_mean_1_,h_mean_2_,h_std_1_,h_std_2_,h_coov_1_,h_coov_2_,h_kur_1_,h_kur_2_,h_skew_1_,h_skew_2_,IR_,h_q5_1_,h_q10_1_,h_q25_1_,h_q50_1_,h_q75_1_,h_q90_1_,h_q95_1_,h_q99_1_,h_q5_2_,h_q10_2_,h_q25_2_,h_q50_2_,h_q75_2_,h_q90_2_,h_q95_2_,h_q99_2_,temp_diff_days,BMag_ha,V_ha
943,10.282622861303238,13.83406418422342,7.290735489128443,4.739393585869342,0.7090346098917802,0.34258866539554,-1.0820504323844244,0.4244522359491918,-0.192085553478595,-0.0921241898342007,0.7429923552966873,-0.01,-0.01,0.13,12.25,15.25,19.07499999999999,21.633499999999994,24.28699999999997,4.9,8.5,11.27,13.79,16.330000000000002,20.52,22.3695,24.699500000000004,-620.0,166.39475454,286.23219298
944,9.758655210038189,12.938848243390078,6.691435497767399,4.298178169919727,0.685692378073189,0.3321917135951794,-1.4067652112211133,0.8479223851987481,-0.4673070057661063,-1.192710926182394,0.7531369339879979,-0.01,0.0,1.12,12.545000000000002,15.41,16.7,17.42,19.057,2.26,6.47,11.3,14.21,15.87,17.04,17.740000000000002,19.354,-787.0,109.39721997,210.3132708
945,10.087404844290658,11.768263127524524,5.072011000426665,3.2119586462273064,0.5028063291518787,0.2729339590236497,-0.2798173239488779,2.444452480202119,-1.100006399739294,-1.647465058203333,0.856648541769649,0.0,0.01,8.6525,12.165,13.69,14.59,14.9775,15.7,3.2950000000000004,7.795,10.74,12.71,13.86,14.69,15.04,15.7235,-787.0,111.6078758,176.74077879
946,8.789045547594677,10.89426213900349,5.10641657229397,3.0751090915504045,0.5809978506359496,0.282268688995553,-0.9222277605966772,0.2141759305242061,-0.7228705611737544,-0.9172925265623956,0.8062947799385876,0.0,0.0,5.5425,10.725,12.83,13.97,14.53,15.18,4.995,6.2,9.05,11.74,13.2,14.15,14.69,15.27,-787.0,201.06691206,347.84577716
947,14.36566689350119,16.635518737672587,9.280390578610254,7.896777436574048,0.646011817440133,0.474693789902151,-1.262445699358887,-0.6529337040667795,-0.348633315035198,-0.6061184274755302,0.8625382783259612,0.0,0.03,2.8000000000000003,16.69,21.89,25.53,26.8915,28.45,1.68,2.2590000000000003,12.16,18.275,22.6475,25.901000000000007,27.14,28.55,-588.0,302.75490848,585.0912728
948,4.607902244389027,13.0414375,6.956155595352441,5.306418040658888,1.5096144029146552,0.406889044298904,-0.2319510791467056,-0.4012135056681365,1.1392425596846043,-0.294296594340757,0.3511221945137157,-0.02,-0.01,0.0,0.02,10.5,16.38,19.4,21.8076,2.4785000000000004,5.659000000000001,10.09,13.1,16.88,20.010000000000005,21.041,23.3762,-588.0,64.039369874,129.33495282
949,15.51730631437528,19.60833168246781,8.89113534781507,4.444973939787581,0.5729818802106327,0.2266880228143998,-0.7801665713663288,2.608378273673204,-0.905415712461188,-1.5043683938845185,0.7912001791312137,0.0,0.01,10.45,19.55,22.1,23.579000000000008,24.28,25.836900000000007,10.286,13.63,18.025,20.73,22.575000000000003,23.82,24.537,26.0134,-588.0,219.18851692,376.46763904
950,10.146218765311122,17.554131863472545,9.624998897111013,5.510215824568237,0.9486291513857252,0.3138985093323898,-1.7880193172198326,1.109886983997474,0.0648630072057259,-1.313967344714274,0.5777804997550221,-0.02,-0.01,0.01,11.155,19.7525,21.91,22.918499999999995,24.85,4.3820000000000014,8.41,15.69,19.23,21.24,22.71400000000001,23.672,25.115200000000005,-1019.0,221.09433502,369.51319129
951,13.18799401943683,18.70353253182461,10.1549785363375,6.580794234867971,0.7700169200388484,0.3518476642671942,-1.6517926420260096,0.9126970660053972,-0.3046002029319664,-1.3373311417914315,0.7047096934961375,-0.01,0.0,0.02,17.740000000000002,22.23,24.29,25.214,26.61,2.7605,5.807,16.6675,20.725,23.19,24.793,25.593000000000004,26.824600000000004,-1019.0,190.52045596,345.62323827
952,12.177068493150683,16.981701979854115,8.760907013839766,5.044834191345201,0.7194594510795083,0.297074710022001,-1.556198483365851,0.9767835780055338,-0.4414494662703372,-1.3967936486196078,0.7170610211706102,-0.01,0.0,0.01,16.9,19.72,21.06,21.7,22.77,5.447000000000001,7.862000000000001,15.875,18.79,20.305,21.38,21.931,22.923199999999987,-570.0,183.56561767,357.87783341
953,14.509044870870005,16.729678868552412,6.965359160312694,4.340557776409863,0.4800701370975242,0.2594525460120468,-0.0255292453507225,2.149200238909424,-1.1621662086670523,-1.5047727348763256,0.867118741884288,0.0,0.02,12.37,17.31,19.28,20.73,21.475,22.49,6.8935,10.4,15.37,17.87,19.53,20.9,21.59,22.5591,-528.0,162.92940636,278.56410673
954,7.610526464760827,9.515930335880576,5.941885620974325,5.146467387360484,0.7807456748869026,0.5408265094118351,-1.3015923661719648,-1.2358048001811184,0.2155038457335447,0.0344625122068822,0.796348712142655,0.0,0.01,1.77,6.92,13.1,15.995,17.19,18.81,1.6430000000000002,2.51,4.91,9.41,13.99,16.514000000000006,17.386999999999997,19.0,-528.0,14.984989589,32.965195495
955,6.867071247810006,11.856735175202155,6.376060927143541,3.37568619678134,0.9284978554979963,0.2847062152354924,-1.764459838119318,0.9517213780691072,0.0390516300747152,-1.1593246652975004,0.5777691259489974,0.0,0.01,0.04,7.97,13.17,14.687000000000006,15.39,16.5,4.6625,6.72,10.34,12.75,14.18,15.26,15.8425,16.756499999999996,-668.0,58.980807383,116.69212413
956,14.84728235505295,16.38173697761933,6.175504032443171,4.11684239900274,0.4159349761635988,0.251306830565474,0.8592436360356523,1.5657553047888486,-1.2273139472614674,-0.8949180679372948,0.9063004846526656,-0.01,2.38,13.155,16.55,18.89,20.41,21.51,25.123,8.290000000000001,11.188,14.41,16.990000000000002,19.08,20.56,21.73,25.2,-1080.0,223.68729695,487.35190455
957,5.093767660910519,6.8385473289597005,4.123605148065294,3.3042228240261378,0.8095393081450819,0.4831761286543272,-1.2924375238976034,-1.1555714906235566,0.1892639890962233,0.0163615240065479,0.7444618873190302,-0.05,-0.04,0.76,4.78,8.73,10.88,11.663999999999998,12.846800000000002,1.7,2.36,3.96,6.91,9.66,11.24,11.896499999999996,12.98,-1080.0,16.624868766,32.819852487
